"","year_month","value","source"
"1","202301",5,"CGTN"
"2","202302",2,"CGTN"
"3","202303",15,"CGTN"
"4","202304",21,"CGTN"
"5","202305",24,"CGTN"
"6","202306",40,"CGTN"
"7","202307",81,"CGTN"
"8","202308",120,"CGTN"
"9","202309",41,"CGTN"
"10","202310",13,"CGTN"
"11","202311",16,"CGTN"
"12","202312",7,"CGTN"
"13","202401",10,"CGTN"
"14","202402",9,"CGTN"
"15","202403",18,"CGTN"
"16","202404",13,"CGTN"
"17","202405",3,"CGTN"
"18","202406",6,"CGTN"
"19","202301",16,"JPT"
"20","202302",13,"JPT"
"21","202303",22,"JPT"
"22","202304",19,"JPT"
"23","202305",20,"JPT"
"24","202306",12,"JPT"
"25","202307",48,"JPT"
"26","202308",54,"JPT"
"27","202309",52,"JPT"
"28","202310",33,"JPT"
"29","202311",33,"JPT"
"30","202312",18,"JPT"
"31","202401",23,"JPT"
"32","202402",4,"JPT"
"33","202403",30,"JPT"
"34","202404",20,"JPT"
"35","202405",23,"JPT"
"36","202406",19,"JPT"
