"","source","value"
"1","cgtn",-2
"2","cgtn",-2
"3","cgtn",-2
"4","cgtn",1
"5","cgtn",-2
"6","cgtn",-2
"7","cgtn",1
"8","cgtn",-2
"9","cgtn",-1
"10","cgtn",-3
"11","cgtn",-1
"12","cgtn",-2
"13","cgtn",-2
"14","cgtn",-2
"15","cgtn",-2
"16","cgtn",2
"17","cgtn",-2
"18","cgtn",-3
"19","cgtn",-3
"20","cgtn",1
"21","cgtn",-2
"22","cgtn",-2
"23","cgtn",2
"24","cgtn",1
"25","cgtn",-1
"26","cgtn",-3
"27","cgtn",-2
"28","cgtn",-2
"29","cgtn",-2
"30","cgtn",1
"31","cgtn",-1
"32","cgtn",-1
"33","cgtn",-2
"34","cgtn",-2
"35","cgtn",-1
"36","cgtn",1
"37","cgtn",-2
"38","cgtn",-2
"39","cgtn",-2
"40","cgtn",-2
"41","cgtn",1
"42","cgtn",-1
"43","cgtn",-2
"44","cgtn",2
"45","cgtn",-3
"46","cgtn",-3
"47","cgtn",-2
"48","cgtn",-2
"49","cgtn",-2
"50","cgtn",1
"51","cgtn",1
"52","cgtn",-1
"53","cgtn",-2
"54","cgtn",-2
"55","cgtn",-3
"56","cgtn",-2
"57","cgtn",-3
"58","cgtn",-3
"59","cgtn",-1
"60","cgtn",-2
"61","cgtn",-2
"62","cgtn",-3
"63","cgtn",-3
"64","cgtn",-1
"65","cgtn",-2
"66","cgtn",2
"67","cgtn",-1
"68","cgtn",-1
"69","cgtn",-2
"70","cgtn",-2
"71","cgtn",-2
"72","cgtn",2
"73","cgtn",-2
"74","cgtn",-2
"75","cgtn",2
"76","cgtn",-1
"77","cgtn",-3
"78","cgtn",1
"79","cgtn",-3
"80","cgtn",4
"81","cgtn",-1
"82","cgtn",2
"83","cgtn",-1
"84","cgtn",-2
"85","cgtn",2
"86","cgtn",-1
"87","cgtn",-2
"88","cgtn",-1
"89","cgtn",-2
"90","cgtn",-1
"91","cgtn",-2
"92","cgtn",-3
"93","cgtn",2
"94","cgtn",-2
"95","cgtn",-2
"96","cgtn",-2
"97","cgtn",-2
"98","cgtn",1
"99","cgtn",1
"100","cgtn",-2
"101","cgtn",-2
"102","cgtn",-2
"103","cgtn",-2
"104","cgtn",-2
"105","cgtn",-3
"106","cgtn",4
"107","cgtn",1
"108","cgtn",-3
"109","cgtn",-2
"110","cgtn",-1
"111","cgtn",1
"112","cgtn",-1
"113","cgtn",-2
"114","cgtn",-2
"115","cgtn",2
"116","cgtn",2
"117","cgtn",1
"118","cgtn",1
"119","cgtn",1
"120","cgtn",1
"121","cgtn",1
"122","cgtn",-1
"123","cgtn",2
"124","cgtn",-2
"125","cgtn",2
"126","cgtn",-2
"127","cgtn",-2
"128","cgtn",-1
"129","cgtn",-2
"130","cgtn",1
"131","cgtn",-3
"132","cgtn",1
"133","cgtn",1
"134","cgtn",-3
"135","cgtn",-2
"136","cgtn",-2
"137","cgtn",-2
"138","cgtn",-1
"139","cgtn",1
"140","cgtn",-2
"141","cgtn",1
"142","cgtn",2
"143","cgtn",1
"144","cgtn",1
"145","cgtn",-2
"146","cgtn",2
"147","cgtn",-1
"148","cgtn",1
"149","cgtn",1
"150","cgtn",1
"151","cgtn",-1
"152","cgtn",-1
"153","cgtn",-2
"154","cgtn",2
"155","cgtn",-1
"156","cgtn",-1
"157","cgtn",-2
"158","cgtn",2
"159","cgtn",-2
"160","cgtn",-1
"161","cgtn",-2
"162","cgtn",1
"163","cgtn",4
"164","cgtn",2
"165","cgtn",-2
"166","cgtn",2
"167","cgtn",1
